DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6002;AMARO JOSE DOS SANTOS PASTOR;6;23
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;297537;LOUIS BRAILLE;2;9
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;297537;LOUIS BRAILLE;11;40
GUARULHOS SUL;GUARULHOS;EDUCACAO ESPECIAL EXCLUSIVA;EDUCAÇÃO ESPECIAL - DM;9;6359;JOAO RIBEIRO DE BARROS COMANDANTE;1;4
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;906517;SOPHIA MARIA JANUARIA AMARAL;2;14
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;35713;CYRO BARREIROS PROFESSOR;5;28
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;37515;FIORAVANTE IERVOLINO;3;11
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;925615;PAULO DE CASTRO FERREIRA JUNIOR JORNALISTA;1;1
ITAPECERICA DA SERRA;JUQUITIBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;10157;OREDO RODRIGUES DA CRUZ;3;16
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6282;BRUNO RICCO PADRE;4;17
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;916845;ANNA LAMBERGA ZEGLIO;3;15
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;906273;JOAO NUNES PASTOR;5;24
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;9982;MATILDE MARIA CREMM;3;5
ITAPECERICA DA SERRA;EMBU-GUACU;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;46536;HELIO LUIZ DOBROCHINSKI PROF;2;6
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;10327;JULIA DE CASTRO CARNEIRO;4;22
ITAPECERICA DA SERRA;JUQUITIBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;10157;OREDO RODRIGUES DA CRUZ;1;4
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15155;VIRGILIO SILVEIRA PROF;2;11
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;923199;LINDAMIL BARBOSA DE OLIVEIRA PROFESSORA;3;15
ITAPECERICA DA SERRA;EMBU-GUACU;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;10285;PASCHOAL CARLOS MAGNO;1;1
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;916833;ANTONIO ROSAS DA SILVA GALVAO PROFESSOR;2;14
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;923424;CARMINA MENDES SERODIO;6;33
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;906517;SOPHIA MARIA JANUARIA AMARAL;1;3
ITAPETININGA;GUAREI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;45251;EZEQUIEL CASTANHO PROF;2;10
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;36407;JARDIM JACIRA;2;5
ITAPECERICA DA SERRA;JUQUITIBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;903048;PEDRA BRANCA;3;15
ITAPETININGA;ITAPETININGA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;15155;VIRGILIO SILVEIRA PROF;2;8
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15180;CORINA CACAPAVA BARTH PROFA;2;6
FRANCA;FRANCA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22792;JOAO MARCIANO DE ALMEIDA DR;4;18
FRANCA;FRANCA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;23176;MARIO D ELIA;3;15
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;43394;JOSE DA CONCEICAO HOLTZ PROF;2;4
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;905239;PERICLES GALVAO PROF;1;3
ITAPETININGA;SAO MIGUEL ARCANJO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;905288;JOSE BALTAZAR DE SOUZA;1;2
ITAPETININGA;TATUI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;16676;ARY DE ALMEIDA SINISGALLI PROF;3;12
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;6063;FREDERICO DE BARROS BROTERO PROFESSOR;3;11
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;907085;HUGO DE AGUIAR;4;14
FRANCA;FRANCA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DV;10;65997;HELENA CURY DE TACCA PROFA;1;2
GUARATINGUETA;QUELUZ;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;12427;JOSE DE PAULA FRANCA PROF;1;6
GUARULHOS NORTE;GUARULHOS;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;923771;ZILDA GRACA MARTINS DE OLIVEIRA PROFESSORA;3;9
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6063;FREDERICO DE BARROS BROTERO PROFESSOR;8;47
GUARULHOS SUL;GUARULHOS;NULL;EDUCAÇÃO ESPECIAL - DM;9;916845;ANNA LAMBERGA ZEGLIO;1;2
ITAPECERICA DA SERRA;SAO LOURENCO DA SERRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;910685;ANTONIO BALDUSCO PREFEITO;1;3
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6359;JOAO RIBEIRO DE BARROS COMANDANTE;2;8
ITAPECERICA DA SERRA;EMBU-GUACU;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;35403;ALEXANDRE RODRIGUES NOGUEIRA;5;13
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6257;HOMERO RUBENS DE SA PROFESSOR;2;9
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6427;JOAO CAVALHEIRO SALEM PROFESSOR;3;9
ITAPETININGA;SARAPUI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;908290;MARIA IMACULADA CERQUEIRA BORHER PROFA;3;13
ITAPETININGA;TATUI;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;16494;ALTINA MAYNARDES ARAUJO PROFA;1;1
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;9970;ISABEL A REDENTORA;2;4
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;61608;JARDIM DO CARMO;2;5
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15097;SEBASTIAO PINTO PROF;3;12
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;70117;CARLOS EDUARDO MATTARAZZO CARREIRA PROF;1;5
ITAPETININGA;TATUI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;923035;DEOCLES VIEIRA DE CAMARGO PROF;5;21
ITAPEVA;CAPAO BONITO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;910077;JOAO BAPTISTA DO AMARAL VASCONCELLOS PROFESSOR;6;28
ITAPEVA;CAPAO BONITO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;926036;BAIRRO TURVO DOS ALMEIDAS;1;2
ITAPEVI;ITAPEVI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;902044;IGNES AMELIA OLIVEIRA MACHADO PROFESSORA;2;3
ITAPEVA;BURI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15568;FRANCELINA FRANCO PROFESSORA;2;8
ITAPEVI;ITAPEVI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;352561;AIR FERREIRA DO NASCIMENTO PROFESSOR;2;17
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;38428;ERVIN HORVATH DOUTOR;2;4
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;923321;CLOVIS DA SILVA ALVES PROFESSOR;1;6
ITAPETININGA;ANGATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15027;FORTUNATO DE CAMARGO DR;3;14
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15106;ABILIO FONTES PROF;3;15
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6440;OSWALDO SAMPAIO ALVES;6;23
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;6497;VICENTE MELRO;2;4
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;5800;JOAQUIM GARCIA SALVADOR PROFESSOR;1;1
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;5800;JOAQUIM GARCIA SALVADOR PROFESSOR;2;11
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;7316;MARGARIDA DE CAMILLIS;2;4
ITARARE;BARAO DE ANTONINA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15581;SANDRA REGINA PIRES PROFESSORA;2;3
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;919822;MARIA DE LOURDES BARREIROS CARVALHO PROFA;1;1
ITAPEVA;NOVA CAMPINA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15428;SIMPLICIANO CAMPOLIM DE ALMEIDA;1;2
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;7134;ODILA LEITE DOS SANTOS PROFESSORA;1;3
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;912323;JOAQUIM GONCALVES FERREIRA DA SILVA;2;11
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;912347;ROSARIA ISOLINA DE MORAES DONA;1;3
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;915269;CONDOMINIO RESIDENCIAL VILLAGE;1;4
GUARULHOS SUL;GUARULHOS;NULL;ESPECTRO DO AUTISMO;39;916845;ANNA LAMBERGA ZEGLIO;1;2
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DA;7;9970;ISABEL A REDENTORA;1;2
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;923321;CLOVIS DA SILVA ALVES PROFESSOR;2;11
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;923928;JARDIM ITAQUA;1;1
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;924416;RECANTO MONICA II;3;6
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;7328;BATUIRA;2;9
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;923217;HELENA LOUREIRO ROSSI PROFESSORA;1;2
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;923217;HELENA LOUREIRO ROSSI PROFESSORA;1;1
ITARARE;ITABERA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;915105;BAIRRO DO TOME;1;2
ITARARE;ITABERA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;915105;BAIRRO DO TOME;1;1
ITAPEVA;ITAPEVA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;15477;JEMINIANO DAVID MUZEL;2;6
ITAPEVI;ITAPEVI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;10650;JOSE NEYDE CESAR LESSA DOUTOR;2;8
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6506;HAROLDO VELOSO BRIGADEIRO;6;28
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;36687;HILDA PRATES GALLO PROFESSORA;4;18
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;9994;SEBASTIAO DE MORAES CARDOSO;5;29
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;10029;ANGENOR DE OLIVEIRA POETA;2;7
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;7286;EDINA ALVARES BARBOSA PROFESSORA;5;28
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;43990;CICERO ANTONIO DE SA RAMALHO PROFESSOR;1;4
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;7109;JOSE GAMA DE MIRANDA;5;18
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;45019;KAKUNOSUKE HASEGAWA;3;10
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;46905;JUVENAL PAIVA PEREIRA PROF;4;20
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;910557;EVONIO MARQUES PROF;1;6
ITAQUAQUECETUBA;ITAQUAQUECETUBA;NULL;EDUCAÇÃO ESPECIAL - DM;9;912347;ROSARIA ISOLINA DE MORAES DONA;1;3
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;923709;VILA ARIZONA I;3;6
ITAQUAQUECETUBA;POA;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;7006;BERTHA CORREA E CASTRO DA ROCHA;1;3
ITARARE;ITAPORANGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;40356;OCTAVIO DE ALMEIDA BUENO PROFESSOR;1;1
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;43990;CICERO ANTONIO DE SA RAMALHO PROFESSOR;2;6
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;921497;DULCE MARIA SAMPAIO PROFESSORA;2;9
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;919822;MARIA DE LOURDES BARREIROS CARVALHO PROFA;3;17
ITAPETININGA;TATUI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;16639;CHICO PEREIRA;2;4
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;923936;PEQUENO CORACAO II;2;6
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;925512;JARDIM ODETE III;2;11
ITAPEVI;BARUERI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;9799;CAIO PRADO JUNIOR DEPUTADO;4;20
ITAPEVI;ITAPEVI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;10424;CELINA DE BARROS BAIRAO PROFESSORA;5;12
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;925512;JARDIM ODETE III;1;2
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;910193;VERA LUCIA TORRES RODRIGUES AFFONSO PROFESSORA;2;4
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;7134;ODILA LEITE DOS SANTOS PROFESSORA;1;2
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;36353;VALTER DA SILVA COSTA VEREADOR;2;8
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;46395;WALDOMIRO POMPEO PREFEITO;3;17
GUARULHOS NORTE;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;925081;PARQUE MIKAIL;2;4
ITARARE;CORONEL MACEDO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;14473;ANTONIO TONON;1;1
ITARARE;CORONEL MACEDO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14473;ANTONIO TONON;2;6
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;902408;DURVAL EVARISTO DOS SANTOS VEREADOR;3;9
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;908642;JARDIM AMERICA DO;3;12
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;912300;JOSE OLYMPIO PEREIRA FILHO;2;11
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;923928;JARDIM ITAQUA;2;5
ITARARE;ITABERA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;918532;JARDIM SANTA INES;2;10
ITARARE;ITARARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;45275;ESTHER CARPINELLI RIBAS PROFESSORA;1;1
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;7018;BENEDITA GARCIA DA CRUZ PROFESSORA;2;6
ITARARE;ITABERA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15436;BARBARA VIDAL CESAR;1;4
ITU;SALTO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;37564;BENEDITA DE REZENDE PROFA;1;2
JABOTICABAL;BEBEDOURO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22767;ABILIO ALVES MARQUES;1;1
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;7122;HOMERO FERNANDO MILANO;4;15
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;910181;MARIO MARTINS PEREIRA;1;6
JABOTICABAL;BEBEDOURO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;127814;JARDIM SOUZA LIMA DO;2;6
JABOTICABAL;GUARIBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;40034;JOSEPHINA DE CAMARGO NEVES PROFESSORA;2;4
JABOTICABAL;BEBEDOURO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22627;JOSE FRANCISCO PASCHOAL;2;10
JABOTICABAL;BEBEDOURO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DF;8;22767;ABILIO ALVES MARQUES;1;1
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;923936;PEQUENO CORACAO II;2;7
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;910193;VERA LUCIA TORRES RODRIGUES AFFONSO PROFESSORA;1;1
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;10327;JULIA DE CASTRO CARNEIRO;1;1
ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;925597;ASDRUBAL DO NASCIMENTO QUEIROZ PROFESSOR;5;16
ITARARE;CORONEL MACEDO;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;14473;ANTONIO TONON;1;2
ITARARE;ITARARE;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;15301;EPAMINONDAS FERREIRA LOBO DOUTOR;1;1
ITARARE;RIVERSUL;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;35300;MIGUEL JOAO PEREIRA PADILHA;1;5
ITU;PORTO FELIZ;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15611;EUGENIO EUCLYDES PEREIRA DA MOTTA CORONEL;2;7
ITAPETININGA;ITAPETININGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;15064;FERNANDO PRESTES CEL;2;5
ITAPEVA;CAPAO BONITO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;15222;RAUL VENTURELLI DOUTOR;2;2
ITAPEVA;ITAPEVA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15404;OTAVIO FERRARI;3;19
ITAPEVA;ITAPEVA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;15489;NICOTA SOARES PROFESSORA;1;1
ITAPEVA;RIBEIRAO GRANDE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15076;OSCAR KURTZ CAMARGO;3;13
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;7080;EUGENIO VICTORIO DELIBERATO;3;15
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6397;CID AUGUSTO GUELLI PROFESSOR;5;23
GUARULHOS SUL;GUARULHOS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;6497;VICENTE MELRO;1;1
ITARARE;BOM SUCESSO DE ITARARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15283;APARICIO BIGLIA FILHO PROFESSOR;2;5
ITARARE;ITABERA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;910089;DOROTY DAVID MUZEL PROFESSORA;2;11
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DF;8;497289;JARDIM SANTA RITA II;2;7
ITAQUAQUECETUBA;ITAQUAQUECETUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;921257;AMALIA MARIA DOS SANTOS;1;2
ITARARE;ITABERA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;918532;JARDIM SANTA INES;1;2
ITARARE;ITARARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15600;CAETANO CARBONE PROFESSOR;2;9
ITU;ITU;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;924118;ROSA MARIA MADEIRA MARQUES FREIRE PROFA;2;5
JABOTICABAL;BEBEDOURO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22724;PARAISO CAVALCANTI DOUTOR;2;7
ITAQUAQUECETUBA;POA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;7316;MARGARIDA DE CAMILLIS;2;4
ITARARE;ITAPORANGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;15362;EPITACIO PESSOA;3;13
