DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
APIAI;RIBEIRAO BRANCO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;905252;HONORATO FERREIRA DA SILVA;2;4
ARACATUBA;ARACATUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;29749;CLOVIS DE ARRUDA CAMPOS DR;1;2
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DV;10;913534;TOSHIMARO KACUTA COMENDADOR;1;1
APIAI;ITAOCA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14345;ELIAS LAGES DE MAGALHAES PROF;2;7
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;16986;JUVELINA DE OLIVEIRA RODRIGUES PROFA;4;19
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;16986;JUVELINA DE OLIVEIRA RODRIGUES PROFA;3;13
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;921567;WILSON CAMARGO PROF;2;8
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;919147;MARIA DE LOURDES MAIA FROTA PROFA;5;25
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17346;GERMANO BENENCASE MAESTRO;2;7
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DF;8;435442;MARIA FRIZZARIN PROFA;2;9
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;17073;LUIZ ALVES CEL;2;7
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17073;LUIZ ALVES CEL;3;20
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17061;ULISSES DE OLIVEIRA VALENTE PROF;2;9
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;17073;LUIZ ALVES CEL;2;5
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;29774;JOSE AUGUSTO LOPES BORGES PROF;1;1
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29774;JOSE AUGUSTO LOPES BORGES PROF;3;17
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;14424;AMBROSINA DE OLIVEIRA MATTOS PROFA;1;1
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;14424;AMBROSINA DE OLIVEIRA MATTOS PROFA;1;1
